4:137 -> K: 24 | acc: 44.800000000000004
4:138 -> K: 24 | acc: 43.2
4:139 -> K: 24 | acc: 47.199999999999996
4:140 -> K: 24 | acc: 45.6
4:141 -> K: 24 | acc: 44.0
4:142 -> K: 21 | acc: 43.2
4:143 -> K: 21 | acc: 43.2
4:144 -> K: 20 | acc: 41.6
4:145 -> K: 24 | acc: 43.2
4:146 -> K: 24 | acc: 44.800000000000004
4:147 -> K: 23 | acc: 44.0
4:148 -> K: 20 | acc: 43.2
4:149 -> K: 20 | acc: 40.8
4:150 -> K: 24 | acc: 40.8
4:151 -> K: 20 | acc: 40.8
4:152 -> K: 24 | acc: 40.0
4:153 -> K: 20 | acc: 39.2
4:154 -> K: 23 | acc: 40.0
4:155 -> K: 23 | acc: 40.0
4:156 -> K: 23 | acc: 40.0
4:157 -> K: 22 | acc: 40.0
4:158 -> K: 21 | acc: 40.8
4:159 -> K: 20 | acc: 40.0
4:160 -> K: 20 | acc: 38.4
4:161 -> K: 20 | acc: 39.2
4:162 -> K: 20 | acc: 37.6
4:163 -> K: 20 | acc: 36.8
4:164 -> K: 24 | acc: 34.4
4:165 -> K: 22 | acc: 32.800000000000004
4:166 -> K: 22 | acc: 35.199999999999996
4:167 -> K: 23 | acc: 33.6
4:168 -> K: 22 | acc: 33.6
4:169 -> K: 22 | acc: 36.0
4:170 -> K: 20 | acc: 36.8
4:171 -> K: 20 | acc: 36.8
4:172 -> K: 20 | acc: 36.0
4:173 -> K: 20 | acc: 36.0
4:174 -> K: 20 | acc: 34.4
4:175 -> K: 20 | acc: 35.199999999999996
4:176 -> K: 21 | acc: 33.6
4:177 -> K: 20 | acc: 35.199999999999996
4:178 -> K: 20 | acc: 35.199999999999996
4:179 -> K: 20 | acc: 34.4
4:180 -> K: 20 | acc: 33.6
4:181 -> K: 20 | acc: 34.4
4:182 -> K: 20 | acc: 35.199999999999996
4:183 -> K: 20 | acc: 36.0
4:184 -> K: 20 | acc: 35.199999999999996
4:185 -> K: 20 | acc: 32.800000000000004
4:186 -> K: 20 | acc: 32.800000000000004
4:187 -> K: 20 | acc: 32.0
4:188 -> K: 20 | acc: 33.6
4:189 -> K: 20 | acc: 33.6
4:190 -> K: 20 | acc: 32.800000000000004
4:191 -> K: 24 | acc: 34.4
4:192 -> K: 24 | acc: 35.199999999999996
4:193 -> K: 20 | acc: 34.4
4:194 -> K: 20 | acc: 34.4
4:195 -> K: 20 | acc: 33.6
4:196 -> K: 20 | acc: 34.4
4:197 -> K: 20 | acc: 33.6
4:198 -> K: 24 | acc: 32.800000000000004
4:199 -> K: 20 | acc: 32.0
4:200 -> K: 23 | acc: 32.0
4:201 -> K: 23 | acc: 32.0
4:202 -> K: 20 | acc: 29.599999999999998
4:203 -> K: 24 | acc: 31.2
4:204 -> K: 20 | acc: 32.800000000000004
4:205 -> K: 20 | acc: 32.0
4:206 -> K: 24 | acc: 32.800000000000004
4:207 -> K: 20 | acc: 32.0
4:208 -> K: 20 | acc: 32.0
