3:246 -> K: 23 | acc: 69.6
3:247 -> K: 23 | acc: 69.6
3:248 -> K: 23 | acc: 69.6
4:65 -> K: 24 | acc: 56.00000000000001
4:66 -> K: 22 | acc: 55.2
4:67 -> K: 22 | acc: 56.8
4:68 -> K: 22 | acc: 56.00000000000001
4:69 -> K: 20 | acc: 56.00000000000001
4:70 -> K: 24 | acc: 56.00000000000001
4:71 -> K: 24 | acc: 57.599999999999994
4:72 -> K: 23 | acc: 56.8
4:73 -> K: 20 | acc: 56.00000000000001
4:74 -> K: 24 | acc: 56.00000000000001
4:75 -> K: 24 | acc: 57.599999999999994
4:76 -> K: 23 | acc: 66.4
4:77 -> K: 21 | acc: 66.4
4:78 -> K: 23 | acc: 65.60000000000001
4:79 -> K: 23 | acc: 64.0
4:80 -> K: 21 | acc: 64.0
4:81 -> K: 24 | acc: 65.60000000000001
4:82 -> K: 24 | acc: 65.60000000000001
4:83 -> K: 24 | acc: 65.60000000000001
4:84 -> K: 22 | acc: 64.0
4:85 -> K: 24 | acc: 64.8
4:86 -> K: 24 | acc: 66.4
4:87 -> K: 21 | acc: 65.60000000000001
4:88 -> K: 22 | acc: 68.0
4:89 -> K: 22 | acc: 70.39999999999999
4:90 -> K: 22 | acc: 68.8
4:91 -> K: 22 | acc: 68.0
4:92 -> K: 22 | acc: 68.0
4:93 -> K: 22 | acc: 67.2
4:94 -> K: 22 | acc: 66.4
4:95 -> K: 24 | acc: 66.4
4:96 -> K: 22 | acc: 67.2
4:97 -> K: 22 | acc: 68.0
4:98 -> K: 22 | acc: 68.0
4:99 -> K: 22 | acc: 66.4
4:100 -> K: 21 | acc: 64.8
4:101 -> K: 24 | acc: 66.4
4:102 -> K: 22 | acc: 65.60000000000001
4:103 -> K: 20 | acc: 65.60000000000001
4:104 -> K: 20 | acc: 66.4
4:105 -> K: 20 | acc: 67.2
4:106 -> K: 20 | acc: 68.0
4:107 -> K: 20 | acc: 65.60000000000001
4:108 -> K: 20 | acc: 67.2
4:109 -> K: 21 | acc: 66.4
4:110 -> K: 22 | acc: 63.2
4:111 -> K: 22 | acc: 63.2
4:112 -> K: 21 | acc: 64.0
4:113 -> K: 21 | acc: 64.8
4:114 -> K: 21 | acc: 65.60000000000001
4:115 -> K: 21 | acc: 67.2
